Champion Rank by counts:
         champion     count
38          Janna  0.014215
94         Soraka  0.010750

-------------------------------------------------------------------------

Champion Rank by eigenvector centrality ratio
         champion     eigen   eigen_t  eigen_ratio
108         Urgot  0.081307  0.005731    14.186939
65    Mordekaiser  0.081510  0.006876    11.854637
122        Yorick  0.070066  0.007315     9.578702
92        Skarner  0.070110  0.009864     7.107768
28          Galio  0.065192  0.010151     6.422204
45        Karthus  0.103326  0.017103     6.041203
14     Cassiopeia  0.098607  0.016655     5.920541
125         Ziggs  0.087036  0.017079     5.096208
119        Xerath  0.096451  0.019623     4.915250
0          Aatrox  0.086749  0.019671     4.410034
2           Akali  0.137101  0.031476     4.355667
83         Rumble  0.081622  0.018950     4.307248
85        Sejuani  0.068313  0.016440     4.155387
95          Swain  0.100722  0.024455     4.118602
52        Kog'Maw  0.097807  0.024578     3.979447
41          Jayce  0.100396  0.027184     3.693166
23        Evelynn  0.112072  0.031738     3.531182
25   Fiddlesticks  0.069076  0.019681     3.509785
71       Nocturne  0.111259  0.031758     3.503377
62         Maokai  0.058552  0.017045     3.435158
96         Syndra  0.109103  0.031839     3.426660
90           Sion  0.067140  0.019927     3.369235
50        Kha'Zix  0.113988  0.034069     3.345796
109         Varus  0.097489  0.030497     3.196643
72           Nunu  0.052639  0.016590     3.172931
47       Katarina  0.123811  0.041506     2.982962
49         Kennen  0.078268  0.027051     2.893325
89         Singed  0.063714  0.022412     2.842874
111        Veigar  0.098549  0.035152     2.803518
106        Twitch  0.115091  0.041733     2.757772
32         Gragas  0.064474  0.024562     2.624956
88        Shyvana  0.090227  0.035256     2.559181
73           Olaf  0.094102  0.036990     2.544001
56      Lissandra  0.076942  0.031061     2.477132
35   Heimerdinger  0.069465  0.028436     2.442852
98          Talon  0.136831  0.056386     2.426704
123           Zac  0.070328  0.029500     2.383948
79        Rek'Sai  0.078404  0.033088     2.369580
117       Warwick  0.087024  0.037731     2.306425
5          Anivia  0.096377  0.042454     2.270128
114        Viktor  0.098048  0.044534     2.201673
112       Vel'Koz  0.086087  0.039182     2.197092
46       Kassadin  0.113938  0.051902     2.195243
16          Corki  0.105240  0.048585     2.166107
48          Kayle  0.083256  0.038845     2.143262
127          Zyra  0.069557  0.033574     2.071750
86          Shaco  0.114605  0.057725     1.985337
34        Hecarim  0.099378  0.050228     1.978510
15       Cho'Gath  0.089611  0.046717     1.918186
39      Jarvan IV  0.085687  0.044798     1.912732
61       Malzahar  0.095782  0.050531     1.895499
8            Azir  0.082914  0.044510     1.862843
75       Pantheon  0.117326  0.063160     1.857594
22          Elise  0.095184  0.053020     1.795222
74        Orianna  0.079806  0.044611     1.788930
84           Ryze  0.087098  0.048831     1.783652
126        Zilean  0.044626  0.025522     1.748552
20         Draven  0.098645  0.057590     1.712870
91          Sivir  0.077045  0.045125     1.707368
116      Volibear  0.093623  0.054973     1.703067
100         Teemo  0.090190  0.052992     1.701969
118        Wukong  0.104194  0.065315     1.595255
107          Udyr  0.086110  0.054134     1.590690
70        Nidalee  0.098581  0.061997     1.590081
29      Gangplank  0.091071  0.057488     1.584162
30          Garen  0.099331  0.062719     1.583755
18          Diana  0.111487  0.072332     1.541329
44          Karma  0.053455  0.035269     1.515615
113            Vi  0.093718  0.063370     1.478902
77          Quinn  0.115888  0.078754     1.471512
53        LeBlanc  0.120084  0.083029     1.446294
43        Kalista  0.101933  0.071427     1.427095
37         Irelia  0.103349  0.075406     1.370566
4           Amumu  0.070530  0.052374     1.346667
31           Gnar  0.076868  0.057245     1.342779
104    Tryndamere  0.090932  0.068979     1.318257
7            Ashe  0.079847  0.062001     1.287845
78         Rammus  0.067492  0.053511     1.261279
115      Vladimir  0.078757  0.065374     1.204711
51        Kindred  0.099360  0.083181     1.194505
26          Fiora  0.098735  0.082968     1.190025
76          Poppy  0.086346  0.073489     1.174943
33         Graves  0.100750  0.086336     1.166951
68          Nasus  0.075060  0.068956     1.088521
103       Trundle  0.073423  0.067554     1.086879
21           Ekko  0.100692  0.093202     1.080356
99          Taric  0.029165  0.027012     1.079720
17         Darius  0.091852  0.087033     1.055367
36         Illaoi  0.069034  0.065832     1.048648
120      Xin Zhao  0.091675  0.088501     1.035867
27           Fizz  0.133501  0.130144     1.025793
81         Rengar  0.122539  0.121770     1.006317
19      Dr. Mundo  0.081595  0.081295     1.003687
105  Twisted Fate  0.094164  0.096318     0.977637
63      Master Yi  0.118300  0.124221     0.952339
1            Ahri  0.100081  0.105459     0.949005
6           Annie  0.092297  0.101365     0.910542
80       Renekton  0.085129  0.095072     0.895417
124           Zed  0.129720  0.147757     0.877927
82          Riven  0.098452  0.112952     0.871631
87           Shen  0.056852  0.065951     0.862029
97     Tahm Kench  0.057396  0.073731     0.778451
40            Jax  0.096181  0.127117     0.756630
59            Lux  0.089790  0.125732     0.714138
60       Malphite  0.072936  0.109235     0.667697
58           Lulu  0.045250  0.068468     0.660883
42           Jinx  0.092033  0.139694     0.658815
121         Yasuo  0.101611  0.158402     0.641474
24         Ezreal  0.098085  0.156230     0.627823
93           Sona  0.043452  0.071254     0.609823
102      Tristana  0.100539  0.166405     0.604181
69       Nautilus  0.042326  0.073720     0.574141
13        Caitlyn  0.080615  0.145704     0.553283
11          Brand  0.088565  0.173950     0.509141
67           Nami  0.026539  0.052587     0.504666
9            Bard  0.039163  0.080083     0.489032
64   Miss Fortune  0.096509  0.221012     0.436671
110         Vayne  0.101080  0.264297     0.382446
66        Morgana  0.049060  0.136146     0.360346
57         Lucian  0.098494  0.275164     0.357945
54        Lee Sin  0.100247  0.291931     0.343394
3         Alistar  0.027421  0.084991     0.322635
55          Leona  0.031234  0.104672     0.298395
12          Braum  0.023332  0.082756     0.281933
10     Blitzcrank  0.037649  0.190315     0.197822
38          Janna  0.014215  0.083486     0.170273
94         Soraka  0.010750  0.082420     0.130433
101        Thresh  0.029053  0.229815     0.126420

-----------------------------------------------------------------------

Champion Rank by eigenvector centrality difference
         champion     eigen   eigen_t  eigen_diff
2           Akali  0.137101  0.031476    0.105624
45        Karthus  0.103326  0.017103    0.086222
47       Katarina  0.123811  0.041506    0.082305
14     Cassiopeia  0.098607  0.016655    0.081952
98          Talon  0.136831  0.056386    0.080446
23        Evelynn  0.112072  0.031738    0.080334
50        Kha'Zix  0.113988  0.034069    0.079919
71       Nocturne  0.111259  0.031758    0.079502
96         Syndra  0.109103  0.031839    0.077263
119        Xerath  0.096451  0.019623    0.076828
95          Swain  0.100722  0.024455    0.076267
108         Urgot  0.081307  0.005731    0.075576
65    Mordekaiser  0.081510  0.006876    0.074634
106        Twitch  0.115091  0.041733    0.073357
52        Kog'Maw  0.097807  0.024578    0.073229
41          Jayce  0.100396  0.027184    0.073211
125         Ziggs  0.087036  0.017079    0.069958
0          Aatrox  0.086749  0.019671    0.067078
109         Varus  0.097489  0.030497    0.066992
111        Veigar  0.098549  0.035152    0.063397
122        Yorick  0.070066  0.007315    0.062751
83         Rumble  0.081622  0.018950    0.062672
46       Kassadin  0.113938  0.051902    0.062036
92        Skarner  0.070110  0.009864    0.060246
73           Olaf  0.094102  0.036990    0.057112
86          Shaco  0.114605  0.057725    0.056879
16          Corki  0.105240  0.048585    0.056655
28          Galio  0.065192  0.010151    0.055041
88        Shyvana  0.090227  0.035256    0.054971
75       Pantheon  0.117326  0.063160    0.054166
5          Anivia  0.096377  0.042454    0.053922
114        Viktor  0.098048  0.044534    0.053515
85        Sejuani  0.068313  0.016440    0.051873
49         Kennen  0.078268  0.027051    0.051217
25   Fiddlesticks  0.069076  0.019681    0.049395
117       Warwick  0.087024  0.037731    0.049293
34        Hecarim  0.099378  0.050228    0.049149
90           Sion  0.067140  0.019927    0.047212
112       Vel'Koz  0.086087  0.039182    0.046905
56      Lissandra  0.076942  0.031061    0.045881
79        Rek'Sai  0.078404  0.033088    0.045316
61       Malzahar  0.095782  0.050531    0.045251
48          Kayle  0.083256  0.038845    0.044410
15       Cho'Gath  0.089611  0.046717    0.042895
22          Elise  0.095184  0.053020    0.042163
62         Maokai  0.058552  0.017045    0.041507
89         Singed  0.063714  0.022412    0.041302
20         Draven  0.098645  0.057590    0.041055
35   Heimerdinger  0.069465  0.028436    0.041029
39      Jarvan IV  0.085687  0.044798    0.040889
123           Zac  0.070328  0.029500    0.040827
32         Gragas  0.064474  0.024562    0.039912
18          Diana  0.111487  0.072332    0.039155
118        Wukong  0.104194  0.065315    0.038879
116      Volibear  0.093623  0.054973    0.038650
8            Azir  0.082914  0.044510    0.038405
84           Ryze  0.087098  0.048831    0.038267
100         Teemo  0.090190  0.052992    0.037198
77          Quinn  0.115888  0.078754    0.037134
53        LeBlanc  0.120084  0.083029    0.037055
30          Garen  0.099331  0.062719    0.036612
70        Nidalee  0.098581  0.061997    0.036584
72           Nunu  0.052639  0.016590    0.036049
127          Zyra  0.069557  0.033574    0.035983
74        Orianna  0.079806  0.044611    0.035195
29      Gangplank  0.091071  0.057488    0.033582
107          Udyr  0.086110  0.054134    0.031976
91          Sivir  0.077045  0.045125    0.031920
43        Kalista  0.101933  0.071427    0.030506
113            Vi  0.093718  0.063370    0.030348
37         Irelia  0.103349  0.075406    0.027943
104    Tryndamere  0.090932  0.068979    0.021953
31           Gnar  0.076868  0.057245    0.019622
126        Zilean  0.044626  0.025522    0.019104
44          Karma  0.053455  0.035269    0.018185
4           Amumu  0.070530  0.052374    0.018156
7            Ashe  0.079847  0.062001    0.017847
51        Kindred  0.099360  0.083181    0.016179
26          Fiora  0.098735  0.082968    0.015766
33         Graves  0.100750  0.086336    0.014414
78         Rammus  0.067492  0.053511    0.013981
115      Vladimir  0.078757  0.065374    0.013383
76          Poppy  0.086346  0.073489    0.012856
21           Ekko  0.100692  0.093202    0.007489
68          Nasus  0.075060  0.068956    0.006104
103       Trundle  0.073423  0.067554    0.005869
17         Darius  0.091852  0.087033    0.004819
27           Fizz  0.133501  0.130144    0.003357
36         Illaoi  0.069034  0.065832    0.003203
120      Xin Zhao  0.091675  0.088501    0.003174
99          Taric  0.029165  0.027012    0.002153
81         Rengar  0.122539  0.121770    0.000769
19      Dr. Mundo  0.081595  0.081295    0.000300
105  Twisted Fate  0.094164  0.096318   -0.002154
1            Ahri  0.100081  0.105459   -0.005378
63      Master Yi  0.118300  0.124221   -0.005921
6           Annie  0.092297  0.101365   -0.009068
87           Shen  0.056852  0.065951   -0.009099
80       Renekton  0.085129  0.095072   -0.009943
82          Riven  0.098452  0.112952   -0.014500
97     Tahm Kench  0.057396  0.073731   -0.016335
124           Zed  0.129720  0.147757   -0.018037
58           Lulu  0.045250  0.068468   -0.023219
67           Nami  0.026539  0.052587   -0.026048
93           Sona  0.043452  0.071254   -0.027802
40            Jax  0.096181  0.127117   -0.030937
69       Nautilus  0.042326  0.073720   -0.031394
59            Lux  0.089790  0.125732   -0.035942
60       Malphite  0.072936  0.109235   -0.036299
9            Bard  0.039163  0.080083   -0.040920
42           Jinx  0.092033  0.139694   -0.047661
121         Yasuo  0.101611  0.158402   -0.056791
3         Alistar  0.027421  0.084991   -0.057570
24         Ezreal  0.098085  0.156230   -0.058145
12          Braum  0.023332  0.082756   -0.059424
13        Caitlyn  0.080615  0.145704   -0.065088
102      Tristana  0.100539  0.166405   -0.065866
38          Janna  0.014215  0.083486   -0.069271
94         Soraka  0.010750  0.082420   -0.071670
55          Leona  0.031234  0.104672   -0.073438
11          Brand  0.088565  0.173950   -0.085385
66        Morgana  0.049060  0.136146   -0.087086
64   Miss Fortune  0.096509  0.221012   -0.124502
10     Blitzcrank  0.037649  0.190315   -0.152667
110         Vayne  0.101080  0.264297   -0.163218
57         Lucian  0.098494  0.275164   -0.176670
54        Lee Sin  0.100247  0.291931   -0.191684
101        Thresh  0.029053  0.229815   -0.200762

--------------------------------------------------------------

Champion Rank by PageRank
         champion  pagerank
54        Lee Sin  0.029129
57         Lucian  0.027747
110         Vayne  0.027159
101        Thresh  0.023106
64   Miss Fortune  0.022397
10     Blitzcrank  0.019489
11          Brand  0.017729
