Champion Rank by counts:
         champion   count
46       Kassadin  0.064029  0.049737     1.287342
5          Anivia  0.051755  0.040418     1.280476
102      Tristana  0.231427  0.181989     1.271654
106        Twitch  0.057889  0.045769     1.264822
23        Evelynn  0.039657  0.031612     1.254485
118        Wukong  0.077289  0.061917     1.248278
2           Akali  0.036112  0.028968     1.246618
119        Xerath  0.022543  0.018212     1.237849
75       Pantheon  0.071896  0.058752     1.223729
24         Ezreal  0.201970  0.167283     1.207359
16          Corki  0.063216  0.052710     1.199323
50        Kha'Zix  0.040842  0.034109     1.197385
30          Garen  0.067588  0.056466     1.196958
96         Syndra  0.035582  0.029837     1.192568
63      Master Yi  0.141122  0.119177     1.184135
57         Lucian  0.334871  0.284331     1.177751
114        Viktor  0.048212  0.041073     1.173801
34        Hecarim  0.055607  0.047378     1.173688
1            Ahri  0.114972  0.098033     1.172783
77          Quinn  0.090802  0.078648     1.154540
116      Volibear  0.061530  0.053441     1.151363
33         Graves  0.104156  0.090952     1.145172
59            Lux  0.135427  0.118476     1.143079
18          Diana  0.077173  0.067579     1.141972
88        Shyvana  0.038905  0.034155     1.139071
37         Irelia  0.076572  0.067446     1.135300
111        Veigar  0.036033  0.031798     1.133207
95          Swain  0.024995  0.022063     1.132893
61       Malzahar  0.051902  0.045990     1.128555
29      Gangplank  0.056946  0.051144     1.113438
109         Varus  0.035009  0.031700     1.104411
107          Udyr  0.057490  0.052062     1.104265
64   Miss Fortune  0.255346  0.232469     1.098411
110         Vayne  0.305472  0.278845     1.095490
43        Kalista  0.087079  0.080338     1.083907
105  Twisted Fate  0.096573  0.089313     1.081291
113            Vi  0.067376  0.062363     1.080397
125         Ziggs  0.016960  0.015714     1.079277
15       Cho'Gath  0.046174  0.043017     1.073371
41          Jayce  0.026712  0.024943     1.070936
70        Nidalee  0.064954  0.060734     1.069490
54        Lee Sin  0.283480  0.266263     1.064661
60       Malphite  0.105322  0.100291     1.050166
117       Warwick  0.037969  0.036216     1.048392
20         Draven  0.066567  0.063626     1.046222
79        Rek'Sai  0.034651  0.033463     1.035496
123           Zac  0.031249  0.030216     1.034202
26          Fiora  0.076639  0.074233     1.032404
104    Tryndamere  0.063303  0.061922     1.022303
82          Riven  0.102489  0.100437     1.020427
21           Ekko  0.090068  0.088452     1.018273
51        Kindred  0.082248  0.081403     1.010385
22          Elise  0.052739  0.052211     1.010115
73           Olaf  0.034048  0.033807     1.007144
112       Vel'Koz  0.038819  0.039386     0.985606
42           Jinx  0.150423  0.153063     0.982752
19      Dr. Mundo  0.075618  0.077301     0.978233
76          Poppy  0.067976  0.069611     0.976514
45        Karthus  0.015299  0.015698     0.974611
74        Orianna  0.040537  0.041870     0.968160
48          Kayle  0.034153  0.035366     0.965682
14     Cassiopeia  0.014679  0.015208     0.965224
6           Annie  0.092649  0.096597     0.959128
121         Yasuo  0.133741  0.139911     0.955895
40            Jax  0.110695  0.116078     0.953629
0          Aatrox  0.016967  0.017874     0.949280
120      Xin Zhao  0.080746  0.085063     0.949244
100         Teemo  0.044336  0.046853     0.946277
80       Renekton  0.080449  0.085309     0.943024
92        Skarner  0.008960  0.009573     0.935906
39      Jarvan IV  0.040675  0.043693     0.930915
52        Kog'Maw  0.023938  0.025732     0.930260
68          Nasus  0.055344  0.060063     0.921442
85        Sejuani  0.014816  0.016083     0.921212
103       Trundle  0.059831  0.065210     0.917524
84           Ryze  0.040653  0.044317     0.917323
91          Sivir  0.044695  0.049395     0.904866
83         Rumble  0.014987  0.016729     0.895907
49         Kennen  0.022195  0.025113     0.883794
13        Caitlyn  0.139129  0.159116     0.874388
17         Darius  0.067368  0.077208     0.872551
56      Lissandra  0.025408  0.029131     0.872176
11          Brand  0.147950  0.172064     0.859853
108         Urgot  0.004769  0.005552     0.859082
4           Amumu  0.043247  0.050543     0.855653
115      Vladimir  0.048947  0.057205     0.855652
78         Rammus  0.044637  0.052263     0.854069
31           Gnar  0.042355  0.050897     0.832173
8            Azir  0.034549  0.041668     0.829148
7            Ashe  0.054732  0.067342     0.812746
90           Sion  0.015007  0.018768     0.799629
87           Shen  0.050239  0.063417     0.792210
32         Gragas  0.018738  0.024665     0.759707
35   Heimerdinger  0.018866  0.024863     0.758815
65    Mordekaiser  0.004799  0.006345     0.756264
122        Yorick  0.004912  0.006500     0.755707
25   Fiddlesticks  0.013637  0.019010     0.717346
127          Zyra  0.024726  0.035291     0.700651
28          Galio  0.006853  0.009964     0.687708
97     Tahm Kench  0.051175  0.075333     0.679315
89         Singed  0.013435  0.020183     0.665671
72           Nunu  0.010830  0.016457     0.658084
62         Maokai  0.010521  0.016070     0.654716
36         Illaoi  0.037814  0.060284     0.627265
44          Karma  0.021466  0.036324     0.590947
126        Zilean  0.015866  0.026857     0.590777
66        Morgana  0.080362  0.142654     0.563335
58           Lulu  0.038792  0.069033     0.561945
93           Sona  0.039109  0.076858     0.508849
69       Nautilus  0.038957  0.077070     0.505471
10     Blitzcrank  0.087401  0.202109     0.432447
9            Bard  0.037626  0.087640     0.429329
67           Nami  0.021400  0.056821     0.376612
99          Taric  0.010393  0.027964     0.371678
55          Leona  0.040736  0.113546     0.358763
101        Thresh  0.086753  0.247360     0.350718
3         Alistar  0.031395  0.092081     0.340955
12          Braum  0.025578  0.089594     0.285489
38          Janna  0.021174  0.090293     0.234503
94         Soraka  0.011900  0.086841     0.137030

-----------------------------------------------------------------------

Champion Rank by eigenvector centrality difference
         champion     eigen   eigen_t  eigen_diff
124           Zed  0.198167  0.139336    0.058831
57         Lucian  0.334871  0.284331    0.050540
102      Tristana  0.231427  0.181989    0.049438
81         Rengar  0.161733  0.117442    0.044291
27           Fizz  0.163430  0.121567    0.041862
24         Ezreal  0.201970  0.167283    0.034688
53        LeBlanc  0.113158  0.079379    0.033778
110         Vayne  0.305472  0.278845    0.026627
64   Miss Fortune  0.255346  0.232469    0.022878
63      Master Yi  0.141122  0.119177    0.021945
98          Talon  0.073928  0.054580    0.019348
86          Shaco  0.075527  0.057108    0.018419
54        Lee Sin  0.283480  0.266263    0.017217
59            Lux  0.135427  0.118476    0.016951
1            Ahri  0.114972  0.098033    0.016938
118        Wukong  0.077289  0.061917    0.015373
46       Kassadin  0.064029  0.049737    0.014292
33         Graves  0.104156  0.090952    0.013204
75       Pantheon  0.071896  0.058752    0.013144
77          Quinn  0.090802  0.078648    0.012154
106        Twitch  0.057889  0.045769    0.012121
47       Katarina  0.050666  0.038629    0.012037
5          Anivia  0.051755  0.040418    0.011336
30          Garen  0.067588  0.056466    0.011121
16          Corki  0.063216  0.052710    0.010506
18          Diana  0.077173  0.067579    0.009594
