champion,amp_slope_win,n_players_win,mean_on_champ_win,amp_slope_lane_diff,n_players_lane_diff,mean_on_champ_lane_diff
Wukong,-0.0509,468,0.5597,0.1178,468,4.9246
Sona,0.0831,517,0.5619,0.1174,517,1.9671
Zyra,0.0284,206,0.5375,0.1168,206,5.4911
Thresh,-0.0555,2070,0.5063,0.1158,2070,3.567
Kayle,0.0806,275,0.5656,0.111,275,7.0781
Bard,-0.0605,837,0.4912,0.1087,837,6.5925
Warwick,-0.0103,213,0.5292,0.104,213,-2.6248
Jinx,-0.0518,923,0.5393,0.1037,923,-3.4084
Shaco,-0.089,413,0.5594,0.0929,413,-6.1594
Soraka,0.0139,665,0.5484,0.0622,665,-1.7971
Xin Zhao,-0.2807,514,0.5407,0.0509,514,0.3543
Karma,-0.2409,262,0.5463,0.049,262,-0.7847
Jayce,0.0277,205,0.5134,0.0487,205,6.5495
Varus,-0.0328,173,0.5403,0.0339,173,4.4276
Karthus,0.1524,94,0.5497,0.0189,94,7.964
Draven,-0.0059,423,0.554,0.0083,423,5.741
Leona,-0.0551,568,0.5501,-0.0152,568,5.4647
Aatrox,0.0084,121,0.5556,-0.0224,121,27.5116
Gragas,-0.1456,192,0.5061,-0.0331,192,-12.0895
